# Sprint 149 residual ledger: every non-green packet root, classified. A `seam`
# row blocks its story; a `product` row is handed to the named downstream sprint
# and is never reclassified here. `first_line` is the leading diagnostic as
# emitted; `repro` is the direct command that reproduces it outside the harness.
# Rows below the seed were generated from the retained Linux evidence of the
# 2026-09-11 packet run (one coordinator, Go 1.27.0 linux/amd64, Bash++ be20731)
# by an automated first-line triage; `owner` 151/152/154 marks a diagnostic
# whose subsystem the Barrier-A partition must settle. Every row is product:
# its phase executed and upstream applied its own contract.
# packet	root	mode	class	first_line	owner	repro
149.6	abi/bad_select_crash.go	both	product	unsupported type *ast.BasicLit	151/152	bashy --bashpp --source=go --check --go-file test/abi/bad_select_crash.go
149.4	fixedbugs/issue44465.go	both	product	gosource: unsupported LabeledStmt	151	bashy --bashpp --source=go --check --go-file test/fixedbugs/issue44465.go
149.4	fixedbugs/issue45948.go	both	product	gosource: unsupported LabeledStmt	151	bashy --bashpp --source=go --check --go-file test/fixedbugs/issue45948.go
149.4	fixedbugs/issue52278.go	both	product	gosource: unsupported LabeledStmt	151	bashy --bashpp --source=go --check --go-file test/fixedbugs/issue52278.go
149.4	fixedbugs/issue31915.go	compiled	product	panic: nil pointer dereference in lower.(*emitter).block (lower/compile.go:631)	152	bashy transpile --bashpp --source=go --go-file test/fixedbugs/issue31915.go -o /tmp/main.go
149.4	fixedbugs/issue58826.go	compiled	product	panic: nil pointer dereference in lower.(*emitter).block (lower/compile.go:631)	152	bashy transpile --bashpp --source=go --go-file test/fixedbugs/issue58826.go -o /tmp/main.go
149.1	abi/result_live.go	compiled	product	panic: runtime error: invalid memory address or nil pointer dereference	152	bashy transpile --bashpp --source=go --go-file test/abi/result_live.go -o /tmp/main.go
149.1	abi/result_live.go	interpreted	product	result_live.go:13: missing error "live at call to g: r"	154	bashy --bashpp --source=go --check --go-file test/abi/result_live.go
149.1	bloop.go	interpreted	product	bloop.go:14: missing error "can inline caninline"	154	bashy --bashpp --source=go --check --go-file test/bloop.go
149.1	bounds.go	interpreted	product	bounds.go:64: missing error "index bounds check elided"	154	bashy --bashpp --source=go --check --go-file test/bounds.go
149.1	char_lit1.go	compiled	product	char_lit1.go:16:8: escape sequence is invalid Unicode code point	151	bashy transpile --bashpp --source=go --go-file test/char_lit1.go -o /tmp/main.go
149.1	char_lit1.go	interpreted	product	char_lit1.go:16:8: escape sequence is invalid Unicode code point	151	bashy --bashpp --source=go --check --go-file test/char_lit1.go
149.1	checkbce.go	compiled	product	checkbce.go:17: missing error "Found IsInBounds$"	154	bashy transpile --bashpp --source=go --go-file test/checkbce.go -o /tmp/main.go
149.1	checkbce.go	interpreted	product	checkbce.go:17: missing error "Found IsInBounds$"	154	bashy --bashpp --source=go --check --go-file test/checkbce.go
149.1	defererrcheck.go	compiled	product	defererrcheck.go:57:1: gosource: unsupported LabeledStmt	151	bashy transpile --bashpp --source=go --go-file test/defererrcheck.go -o /tmp/main.go
149.1	defererrcheck.go	interpreted	product	defererrcheck.go:57:1: gosource: unsupported LabeledStmt	151	bashy --bashpp --source=go --check --go-file test/defererrcheck.go
149.1	devirt.go	compiled	product	devirt.go:30: missing error "de-virtualizing call$"	154	bashy transpile --bashpp --source=go --go-file test/devirt.go -o /tmp/main.go
149.1	devirt.go	interpreted	product	devirt.go:30: missing error "de-virtualizing call$"	154	bashy --bashpp --source=go --check --go-file test/devirt.go
149.1	devirtualization.go	compiled	product	devirtualization.go:156:3: LOWER-ETYPE: assignment mismatch: 2 variables but __bpp0_rt.MustValue returns 1 value	151	bashy transpile --bashpp --source=go --go-file test/devirtualization.go -o /tmp/main.go
149.1	devirtualization.go	interpreted	product	devirtualization.go:17: missing error "can inline \\(\\*Impl\\).M$"	154	bashy --bashpp --source=go --check --go-file test/devirtualization.go
149.1	devirtualization_with_type_assertions_interleaved.go	compiled	product	../../bashpp-s1491.f3BbBr/goroot/test/devirtualization_with_type_assertions_interleaved.go:20:6: can inline (*hash).Sum	151/152/154	bashy transpile --bashpp --source=go --go-file test/devirtualization_with_type_assertions_interleaved.go -o /tmp/main.go
149.1	devirtualization_with_type_assertions_interleaved.go	interpreted	product	devirtualization_with_type_assertions_interleaved.go:20: missing error "can inline \\(\\*hash\\).Sum$"	154	bashy --bashpp --source=go --check --go-file test/devirtualization_with_type_assertions_interleaved.go
149.1	embedvers.go	compiled	product	main.go:8:18: pattern //: invalid pattern syntax	151	bashy transpile --bashpp --source=go --go-file test/embedvers.go -o /tmp/main.go
149.1	embedvers.go	interpreted	product	testdir_test.go:153: compilation succeeded unexpectedly	154	bashy --bashpp --source=go --check --go-file test/embedvers.go
149.1	escape2.go	compiled	product	escape2.go:945:1: gosource: unsupported LabeledStmt	151	bashy transpile --bashpp --source=go --go-file test/escape2.go -o /tmp/main.go
149.1	escape2.go	interpreted	product	escape2.go:945:1: gosource: unsupported LabeledStmt	151	bashy --bashpp --source=go --check --go-file test/escape2.go
149.1	escape2n.go	compiled	product	escape2n.go:945:1: gosource: unsupported LabeledStmt	151	bashy transpile --bashpp --source=go --go-file test/escape2n.go -o /tmp/main.go
149.1	escape2n.go	interpreted	product	escape2n.go:945:1: gosource: unsupported LabeledStmt	151	bashy --bashpp --source=go --check --go-file test/escape2n.go
149.1	escape4.go	interpreted	product	escape4.go:16: missing error "can inline alloc"	154	bashy --bashpp --source=go --check --go-file test/escape4.go
149.1	escape5.go	compiled	product	escape5.go:225:8: gosource: unsupported expression *ast.ArrayType	151	bashy transpile --bashpp --source=go --go-file test/escape5.go -o /tmp/main.go
149.1	escape5.go	interpreted	product	escape5.go:225:8: gosource: unsupported expression *ast.ArrayType	151	bashy --bashpp --source=go --check --go-file test/escape5.go
149.1	escape6.go	interpreted	product	escape6.go:16: missing error "leaking param: v"	154	bashy --bashpp --source=go --check --go-file test/escape6.go
149.1	escape_array.go	compiled	product	../../bashpp-s1491.f3BbBr/goroot/test/escape_array.go:15:10: leaking param: a to result ~r0 level=0	151/152/154	bashy transpile --bashpp --source=go --go-file test/escape_array.go -o /tmp/main.go
149.1	escape_array.go	interpreted	product	escape_array.go:15: missing error "leaking param: a to result ~r0 level=0$"	154	bashy --bashpp --source=go --check --go-file test/escape_array.go
149.1	escape_bloop.go	interpreted	product	escape_bloop.go:18: missing error "can inline NewX"	154	bashy --bashpp --source=go --check --go-file test/escape_bloop.go
149.1	escape_calls.go	compiled	product	panic: runtime error: invalid memory address or nil pointer dereference	152	bashy transpile --bashpp --source=go --go-file test/escape_calls.go -o /tmp/main.go
149.1	escape_calls.go	interpreted	product	escape_calls.go:14: missing error "leaking param: buf to result ~r0 level=0$"	154	bashy --bashpp --source=go --check --go-file test/escape_calls.go
149.1	escape_closure.go	compiled	product	escape_closure.go:265:7: gosource: unsupported expression *ast.FuncType	151	bashy transpile --bashpp --source=go --go-file test/escape_closure.go -o /tmp/main.go
149.1	escape_closure.go	interpreted	product	escape_closure.go:265:7: gosource: unsupported expression *ast.FuncType	151	bashy --bashpp --source=go --check --go-file test/escape_closure.go
149.1	escape_field.go	interpreted	product	escape_field.go:24: missing error "moved to heap: i$"	154	bashy --bashpp --source=go --check --go-file test/escape_field.go
149.1	escape_goto.go	compiled	product	escape_goto.go:15:1: gosource: unsupported LabeledStmt	151	bashy transpile --bashpp --source=go --go-file test/escape_goto.go -o /tmp/main.go
149.1	escape_goto.go	interpreted	product	escape_goto.go:15:1: gosource: unsupported LabeledStmt	151	bashy --bashpp --source=go --check --go-file test/escape_goto.go
149.1	escape_iface.go	compiled	product	../../bashpp-s1491.f3BbBr/goroot/test/escape_iface.go:64:8: devirtualizing x.M to M0	151/152/154	bashy transpile --bashpp --source=go --go-file test/escape_iface.go -o /tmp/main.go
149.1	escape_iface.go	interpreted	product	escape_iface.go:17: missing error "leaking param: m"	154	bashy --bashpp --source=go --check --go-file test/escape_iface.go
149.1	escape_iface_data.go	compiled	product	escape_iface_data.go:15: missing error "using global for interface value"	154	bashy transpile --bashpp --source=go --go-file test/escape_iface_data.go -o /tmp/main.go
149.1	escape_iface_data.go	interpreted	product	escape_iface_data.go:15: missing error "using global for interface value"	154	bashy --bashpp --source=go --check --go-file test/escape_iface_data.go
149.1	escape_indir.go	interpreted	product	escape_indir.go:25: missing error "moved to heap: i"	154	bashy --bashpp --source=go --check --go-file test/escape_indir.go
149.1	escape_level.go	interpreted	product	escape_level.go:14: missing error "moved to heap: i"	154	bashy --bashpp --source=go --check --go-file test/escape_level.go
149.1	escape_make_non_const.go	interpreted	product	escape_make_non_const.go:17: missing error "make\\(\\[\\]byte, 128\\) does not escape"	154	bashy --bashpp --source=go --check --go-file test/escape_make_non_const.go
149.1	escape_map.go	interpreted	product	escape_map.go:14: missing error "make\\(map\\[\\*int\\]\\*int\\) does not escape"	154	bashy --bashpp --source=go --check --go-file test/escape_map.go
149.1	escape_mutations.go	compiled	product	../../bashpp-s1491.f3BbBr/goroot/test/escape_mutations.go:17:9: b does not escape	151/152/154	bashy transpile --bashpp --source=go --go-file test/escape_mutations.go -o /tmp/main.go
149.1	escape_mutations.go	interpreted	product	escape_mutations.go:17: missing error "mutates param: b derefs=0"	154	bashy --bashpp --source=go --check --go-file test/escape_mutations.go
149.1	escape_param.go	compiled	product	../../bashpp-s1491.f3BbBr/goroot/test/escape_param.go:19:13: leaking param: p to result ~r0 level=0	151/152/154	bashy transpile --bashpp --source=go --go-file test/escape_param.go -o /tmp/main.go
149.1	escape_param.go	interpreted	product	escape_param.go:19: missing error "leaking param: p to result ~r0"	154	bashy --bashpp --source=go --check --go-file test/escape_param.go
149.1	escape_reflect.go	compiled	product	../../bashpp-s1491.f3BbBr/goroot/test/escape_reflect.go:354:73: 0 does not escape	151/152/154	bashy transpile --bashpp --source=go --go-file test/escape_reflect.go -o /tmp/main.go
149.1	escape_reflect.go	interpreted	product	escape_reflect.go:19: missing error "x does not escape"	154	bashy --bashpp --source=go --check --go-file test/escape_reflect.go
149.1	escape_runtime_atomic.go	compiled	product	escape_runtime_atomic.go:12:2: could not import internal/runtime/atomic (use of internal package internal/runtime/atomic not allowed)	154	bashy transpile --bashpp --source=go --go-file test/escape_runtime_atomic.go -o /tmp/main.go
149.1	escape_runtime_atomic.go	interpreted	product	escape_runtime_atomic.go:12:2: could not import internal/runtime/atomic (use of internal package internal/runtime/atomic not allowed)	154	bashy --bashpp --source=go --check --go-file test/escape_runtime_atomic.go
149.1	escape_selfassign.go	interpreted	product	escape_selfassign.go:18: missing error "leaking param: p"	154	bashy --bashpp --source=go --check --go-file test/escape_selfassign.go
149.1	escape_slice.go	compiled	product	escape_slice.go:118:1: gosource: unsupported LabeledStmt	151	bashy transpile --bashpp --source=go --go-file test/escape_slice.go -o /tmp/main.go
149.1	escape_slice.go	interpreted	product	escape_slice.go:118:1: gosource: unsupported LabeledStmt	151	bashy --bashpp --source=go --check --go-file test/escape_slice.go
149.1	escape_struct_param1.go	interpreted	product	escape_struct_param1.go:25: missing error "leaking param: u to result ~r0 level=1$"	154	bashy --bashpp --source=go --check --go-file test/escape_struct_param1.go
149.1	escape_struct_param2.go	interpreted	product	escape_struct_param2.go:25: missing error "leaking param: u to result ~r0 level=0$"	154	bashy --bashpp --source=go --check --go-file test/escape_struct_param2.go
149.1	escape_struct_return.go	interpreted	product	escape_struct_return.go:18: missing error "leaking param: sp to result ~r0 level=0$"	154	bashy --bashpp --source=go --check --go-file test/escape_struct_return.go
149.1	escape_sync_atomic.go	interpreted	product	escape_sync_atomic.go:17: missing error "leaking param: addr$"	154	bashy --bashpp --source=go --check --go-file test/escape_sync_atomic.go
149.1	escape_unique.go	interpreted	product	escape_unique.go:15: missing error "s does not escape$"	154	bashy --bashpp --source=go --check --go-file test/escape_unique.go
149.1	escape_unsafe.go	interpreted	product	escape_unsafe.go:18: missing error "leaking param: p to result ~r0 level=0$"	154	bashy --bashpp --source=go --check --go-file test/escape_unsafe.go
149.1	fixedbugs/bug050.go	compiled	product	fixedbugs/bug050.go:7:1: expected 'package', found 'func'	154	bashy transpile --bashpp --source=go --go-file test/fixedbugs/bug050.go -o /tmp/main.go
149.1	fixedbugs/bug050.go	interpreted	product	fixedbugs/bug050.go:7:1: expected 'package', found 'func'	154	bashy --bashpp --source=go --check --go-file test/fixedbugs/bug050.go
149.1	fixedbugs/bug195.go	compiled	product	fixedbugs/bug195.go:14:6: invalid recursive type: S refers to itself	151	bashy transpile --bashpp --source=go --go-file test/fixedbugs/bug195.go -o /tmp/main.go
149.1	fixedbugs/bug195.go	interpreted	product	fixedbugs/bug195.go:14:6: invalid recursive type: S refers to itself	151	bashy --bashpp --source=go --check --go-file test/fixedbugs/bug195.go
149.1	fixedbugs/issue10975.go	compiled	product	fixedbugs/issue10975.go:16:12: cannot use type I outside a type constraint: interface contains type constraints	151	bashy transpile --bashpp --source=go --go-file test/fixedbugs/issue10975.go -o /tmp/main.go
149.1	fixedbugs/issue10975.go	interpreted	product	fixedbugs/issue10975.go:16:12: cannot use type I outside a type constraint: interface contains type constraints	151	bashy --bashpp --source=go --check --go-file test/fixedbugs/issue10975.go
149.1	fixedbugs/issue11614.go	compiled	product	fixedbugs/issue11614.go:18:2: (I) (type) is not an expression	151/152/154	bashy transpile --bashpp --source=go --go-file test/fixedbugs/issue11614.go -o /tmp/main.go
149.1	fixedbugs/issue11614.go	interpreted	product	fixedbugs/issue11614.go:18:2: (I) (type) is not an expression	151/152/154	bashy --bashpp --source=go --check --go-file test/fixedbugs/issue11614.go
149.1	fixedbugs/issue12006.go	interpreted	product	issue12006.go:11: missing error "vals does not escape"	154	bashy --bashpp --source=go --check --go-file test/fixedbugs/issue12006.go
149.1	fixedbugs/issue12588.go	interpreted	product	issue12588.go:29: missing error "a does not escape"	154	bashy --bashpp --source=go --check --go-file test/fixedbugs/issue12588.go
149.1	fixedbugs/issue13587.go	compiled	product	panic: runtime error: invalid memory address or nil pointer dereference	152	bashy transpile --bashpp --source=go --go-file test/fixedbugs/issue13587.go -o /tmp/main.go
